,color,price,log_price
0,E,326,5.786897381366708
1,E,326,5.786897381366708
2,E,327,5.7899601708972535
3,I,334,5.811140992976701
4,I,336,5.817111159963204
5,H,337,5.820082930352362
6,E,337,5.820082930352362
7,H,338,5.823045895483019
8,F,342,5.834810737062605
9,E,345,5.84354441703136
10,E,345,5.84354441703136
11,I,348,5.8522024797744745
12,I,351,5.860786223465865
13,E,352,5.863631175598097
14,H,353,5.8664680569332965
15,I,355,5.872117789475416
16,D,357,5.877735781779639
17,F,357,5.877735781779639
18,F,402,5.996452088619021
19,F,402,5.996452088619021
20,E,402,5.996452088619021
21,E,402,5.996452088619021
22,D,402,5.996452088619021
23,F,402,5.996452088619021
24,E,402,5.996452088619021
25,H,402,5.996452088619021
26,D,403,5.998936561946683
27,I,403,5.998936561946683
28,I,403,5.998936561946683
29,D,403,5.998936561946683
30,D,403,5.998936561946683
31,H,403,5.998936561946683
32,F,403,5.998936561946683
33,H,403,5.998936561946683
34,H,403,5.998936561946683
35,E,404,6.0014148779611505
36,H,404,6.0014148779611505
37,F,404,6.0014148779611505
38,I,404,6.0014148779611505
39,E,404,6.0014148779611505
40,D,404,6.0014148779611505
41,I,405,6.003887067106539
42,I,405,6.003887067106539
43,I,405,6.003887067106539
44,I,405,6.003887067106539
45,I,552,6.313548046277095
46,D,552,6.313548046277095
47,D,552,6.313548046277095
48,D,552,6.313548046277095
49,I,552,6.313548046277095
50,I,553,6.315358001522335
51,E,553,6.315358001522335
52,D,553,6.315358001522335
53,H,554,6.317164686747284
54,H,554,6.317164686747284
55,H,554,6.317164686747284
56,H,554,6.317164686747284
57,F,554,6.317164686747284
58,E,554,6.317164686747284
59,D,554,6.317164686747284
60,D,554,6.317164686747284
61,E,554,6.317164686747284
62,E,554,6.317164686747284
63,D,554,6.317164686747284
64,E,554,6.317164686747284
65,I,554,6.317164686747284
66,E,554,6.317164686747284
67,H,554,6.317164686747284
68,H,554,6.317164686747284
69,H,554,6.317164686747284
70,I,554,6.317164686747284
71,E,2757,7.921898411023797
72,E,2757,7.921898411023797
73,E,2759,7.922623574217286
74,E,2759,7.922623574217286
75,F,2759,7.922623574217286
76,F,2759,7.922623574217286
77,E,2760,7.9229859587111955
78,H,2760,7.9229859587111955
